series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
lookism,Lookism,222,episode-000222-ep-222-runaway-fam-04,"Ep. 222: Runaway Fam (04) Mar 16, 2019 like 157,568 #222",436,256,180,0.41284403669724773,160,160,426,3,https://www.webtoons.com/en/drama/lookism/ep-222-runaway-fam-04/viewer?title_no=1049&episode_no=222
lookism,Lookism,239,episode-000239-ep-239-eli-jang-8,"Ep. 239: Eli Jang (8) Jul 13, 2019 like 141,385 #239",498,256,242,0.4859437751004016,160,222,488,3,https://www.webtoons.com/en/drama/lookism/ep-239-eli-jang-8/viewer?title_no=1049&episode_no=239
lookism,Lookism,240,episode-000240-ep-240-eli-jang-9,"Ep. 240: Eli Jang (9) Jul 20, 2019 like 139,497 #240",459,256,203,0.4422657952069717,160,183,449,4,https://www.webtoons.com/en/drama/lookism/ep-240-eli-jang-9/viewer?title_no=1049&episode_no=240
lookism,Lookism,268,episode-000268-ep-268-hostel-3,"Ep. 268: Hostel (3) Feb 1, 2020 like 125,810 #268",490,256,234,0.4775510204081633,160,214,480,4,https://www.webtoons.com/en/drama/lookism/ep-268-hostel-3/viewer?title_no=1049&episode_no=268
lookism,Lookism,284,episode-000284-ep-284-vs-gun,"Ep. 284: VS Gun May 23, 2020 like 124,260 #284",544,272,272,0.5,700,1,277,4,https://www.webtoons.com/en/drama/lookism/ep-284-vs-gun/viewer?title_no=1049&episode_no=284
lookism,Lookism,296,episode-000296-ep-296-workers4-affiliates-10,"Ep. 296: Workers(4 Affiliates) (10) Aug 15, 2020 like 116,877 #296",556,283,273,0.4910071942446043,700,1,289,4,https://www.webtoons.com/en/drama/lookism/ep-296-workers4-affiliates-10/viewer?title_no=1049&episode_no=296
lookism,Lookism,312,episode-000312-ep-312-jake-kim-11,"Ep. 312: Jake Kim (11) Dec 5, 2020 like 87,053 #312",553,281,272,0.4918625678119349,700,1,286,5,https://www.webtoons.com/en/drama/lookism/ep-312-jake-kim-11/viewer?title_no=1049&episode_no=312
lookism,Lookism,428,episode-000428-ep-428-the-hunt-for-big-deal-18,"Ep. 428: The Hunt for Big Deal (18) BGM Feb 25, 2023 like 50,732 #428",425,256,169,0.3976470588235294,160,149,415,7,https://www.webtoons.com/en/drama/lookism/ep-428-the-hunt-for-big-deal-18/viewer?title_no=1049&episode_no=428
lookism,Lookism,447,episode-000447-ep-447-lookism-finale,"Ep 447: Lookism (Finale) BGM Jul 8, 2023 like 40,021 #447",445,256,189,0.4247191011235955,160,169,435,7,https://www.webtoons.com/en/drama/lookism/ep-447-lookism-finale/viewer?title_no=1049&episode_no=447
lookism,Lookism,469,episode-000469-ep-469-workers-1st-affiliate-21,"Ep. 469: Workers (1st Affiliate) (21) BGM Dec 9, 2023 like 35,015 #469",414,256,158,0.38164251207729466,160,138,404,7,https://www.webtoons.com/en/drama/lookism/ep-469-workers-1st-affiliate-21/viewer?title_no=1049&episode_no=469
lookism,Lookism,496,episode-000496-ep-496-cheonliang-15,"Ep. 496: Cheonliang (15) BGM Jun 15, 2024 like 24,634 #496",442,256,186,0.42081447963800905,160,166,432,8,https://www.webtoons.com/en/drama/lookism/ep-496-cheonliang-15/viewer?title_no=1049&episode_no=496
lookism,Lookism,516,episode-000516-ep-516-the-hunt-for-gun-15,"Ep. 516: The Hunt for Gun (15) BGM Nov 2, 2024 like 23,023 #516",499,256,243,0.48697394789579157,160,223,489,8,https://www.webtoons.com/en/drama/lookism/ep-516-the-hunt-for-gun-15/viewer?title_no=1049&episode_no=516
lookism,Lookism,585,episode-000585-ep-585-war-begins-3,"Ep. 585: War Begins (3) BGM Feb 28, 2026 like 6,850 #585",457,256,201,0.43982494529540483,160,181,447,9,https://www.webtoons.com/en/drama/lookism/ep-585-war-begins-3/viewer?title_no=1049&episode_no=585
omniscient-reader,Omniscient Reader,21,episode-000021-episode-20,"Episode 20 Nov 10, 2020 like 256,364 #21",642,266,376,0.5856697819314641,800,9,614,0,https://www.webtoons.com/en/action/omniscient-reader/episode-20/viewer?title_no=2154&episode_no=21
omniscient-reader,Omniscient Reader,45,episode-000045-episode-44,"Episode 44 Apr 27, 2021 like 229,209 #45",650,294,356,0.5476923076923077,800,9,626,1,https://www.webtoons.com/en/action/omniscient-reader/episode-44/viewer?title_no=2154&episode_no=45
omniscient-reader,Omniscient Reader,60,episode-000060-episode-59,"Episode 59 Aug 10, 2021 like 206,068 #60",631,274,357,0.5657686212361331,800,9,608,1,https://www.webtoons.com/en/action/omniscient-reader/episode-59/viewer?title_no=2154&episode_no=60
omniscient-reader,Omniscient Reader,77,episode-000077-episode-76,"Episode 76 Dec 7, 2021 like 198,751 #77",623,260,363,0.5826645264847512,800,9,596,2,https://www.webtoons.com/en/action/omniscient-reader/episode-76/viewer?title_no=2154&episode_no=77
omniscient-reader,Omniscient Reader,112,episode-000112-episode-111,"Episode 111 Aug 9, 2022 like 165,828 #112",572,214,358,0.6258741258741258,800,9,546,3,https://www.webtoons.com/en/action/omniscient-reader/episode-111/viewer?title_no=2154&episode_no=112
omniscient-reader,Omniscient Reader,143,episode-000143-episode-142,"Episode 142 Mar 14, 2023 like 137,021 #143",588,234,354,0.6020408163265306,800,9,563,4,https://www.webtoons.com/en/action/omniscient-reader/episode-142/viewer?title_no=2154&episode_no=143
omniscient-reader,Omniscient Reader,150,episode-000150-episode-149,"Episode 149 May 2, 2023 like 132,188 #150",560,202,358,0.6392857142857142,800,9,532,4,https://www.webtoons.com/en/action/omniscient-reader/episode-149/viewer?title_no=2154&episode_no=150
omniscient-reader,Omniscient Reader,152,episode-000152-episode-151,"Episode 151 May 16, 2023 like 133,802 #152",533,178,355,0.6660412757973734,800,9,507,4,https://www.webtoons.com/en/action/omniscient-reader/episode-151/viewer?title_no=2154&episode_no=152
omniscient-reader,Omniscient Reader,155,episode-000155-episode-154,"Episode 154 Jun 6, 2023 like 129,345 #155",574,220,354,0.6167247386759582,800,9,548,5,https://www.webtoons.com/en/action/omniscient-reader/episode-154/viewer?title_no=2154&episode_no=155
omniscient-reader,Omniscient Reader,157,episode-000157-episode-156,"Episode 156 Jun 20, 2023 like 127,505 #157",585,228,357,0.6102564102564103,800,9,559,5,https://www.webtoons.com/en/action/omniscient-reader/episode-156/viewer?title_no=2154&episode_no=157
omniscient-reader,Omniscient Reader,172,episode-000172-episode-171,"Episode 171 Oct 3, 2023 like 125,909 #172",569,214,355,0.6239015817223199,800,9,542,5,https://www.webtoons.com/en/action/omniscient-reader/episode-171/viewer?title_no=2154&episode_no=172
omniscient-reader,Omniscient Reader,177,episode-000177-episode-176,"Episode 176 Nov 7, 2023 like 113,903 #177",593,244,349,0.5885328836424958,800,9,572,5,https://www.webtoons.com/en/action/omniscient-reader/episode-176/viewer?title_no=2154&episode_no=177
omniscient-reader,Omniscient Reader,187,episode-000187-episode-186,"Episode 186 Jan 16, 2024 like 106,004 #187",524,166,358,0.683206106870229,800,9,497,6,https://www.webtoons.com/en/action/omniscient-reader/episode-186/viewer?title_no=2154&episode_no=187
omniscient-reader,Omniscient Reader,194,episode-000194-episode-193,"Episode 193 Mar 4, 2024 like 109,954 #194",558,206,352,0.6308243727598566,800,9,534,6,https://www.webtoons.com/en/action/omniscient-reader/episode-193/viewer?title_no=2154&episode_no=194
omniscient-reader,Omniscient Reader,195,episode-000195-episode-194,"Episode 194 Mar 11, 2024 like 105,948 #195",653,300,353,0.5405819295558959,800,9,628,6,https://www.webtoons.com/en/action/omniscient-reader/episode-194/viewer?title_no=2154&episode_no=195
omniscient-reader,Omniscient Reader,209,episode-000209-episode-208,"Episode 208 Jun 24, 2024 like 106,965 #209",659,304,355,0.5386949924127465,800,9,632,6,https://www.webtoons.com/en/action/omniscient-reader/episode-208/viewer?title_no=2154&episode_no=209
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,"Episode 220 BGM Sep 16, 2024 like 106,731 #221",622,270,352,0.5659163987138264,800,9,599,7,https://www.webtoons.com/en/action/omniscient-reader/episode-220/viewer?title_no=2154&episode_no=221
omniscient-reader,Omniscient Reader,236,episode-000236-episode-235,"Episode 235 Dec 30, 2024 like 80,440 #236",553,202,351,0.6347197106690777,800,9,530,7,https://www.webtoons.com/en/action/omniscient-reader/episode-235/viewer?title_no=2154&episode_no=236
omniscient-reader,Omniscient Reader,240,episode-000240-episode-239,"Episode 239 Jan 27, 2025 like 76,090 #240",560,210,350,0.625,800,9,539,7,https://www.webtoons.com/en/action/omniscient-reader/episode-239/viewer?title_no=2154&episode_no=240
omniscient-reader,Omniscient Reader,259,episode-000259-episode-258,"Episode 258 Jun 9, 2025 like 64,867 #259",551,200,351,0.6370235934664247,800,9,528,8,https://www.webtoons.com/en/action/omniscient-reader/episode-258/viewer?title_no=2154&episode_no=259
omniscient-reader,Omniscient Reader,274,episode-000274-episode-273,"Episode 273 Sep 22, 2025 like 51,689 #274",663,314,349,0.526395173453997,800,9,642,8,https://www.webtoons.com/en/action/omniscient-reader/episode-273/viewer?title_no=2154&episode_no=274
teenage-mercenary,Teenage Mercenary,3,episode-000003-episode-2,"Episode 2 Jun 29, 2021 like 162,767 #3",681,345,336,0.4933920704845815,690,39,655,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-2/viewer?title_no=2677&episode_no=3
teenage-mercenary,Teenage Mercenary,13,episode-000013-episode-12,"Episode 12 Aug 31, 2021 like 139,904 #13",532,189,343,0.6447368421052632,690,39,504,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-12/viewer?title_no=2677&episode_no=13
teenage-mercenary,Teenage Mercenary,16,episode-000016-episode-15,"Episode 15 Sep 21, 2021 like 138,152 #16",545,176,369,0.6770642201834862,690,42,507,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-15/viewer?title_no=2677&episode_no=16
