series_slug,series_name,episode_no,episode_slug,source_key,dest_key,size
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0074.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0074.jpg,90876
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0309.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0309.jpg,73833
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0410.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0410.jpg,81991
the-breaker-eternal-force,The Breaker: Eternal Force,78,episode-000078-episode-78,datasets/pages/source/webtoon_cleaned_dim_v2/the-breaker-eternal-force/episode-000078-episode-78/page-0165.jpg,datasets/pages/single/the-breaker-eternal-force_manwa/episode-000078-episode-78__page-0165.jpg,78255
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0308.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0308.jpg,124056
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0099.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0099.jpg,48687
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0409.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0409.jpg,107425
lookism,Lookism,469,episode-000469-ep-469-workers-1st-affiliate-21,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000469-ep-469-workers-1st-affiliate-21/page-0288.jpg,datasets/pages/single/lookism_manwa/episode-000469-ep-469-workers-1st-affiliate-21__page-0288.jpg,36718
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0307.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0307.jpg,135231
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0408.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0408.jpg,113679
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0306.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0306.jpg,151104
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0075.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0075.jpg,93811
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0305.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0305.jpg,142051
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0407.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0407.jpg,172600
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0100.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0100.jpg,158422
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000112-ep-112-why-isnt-daniel-losing-weight/page-0212.jpg,datasets/pages/single/lookism_manwa/episode-000112-ep-112-why-isnt-daniel-losing-weight__page-0212.jpg,53501
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0304.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0304.jpg,181874
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0406.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0406.jpg,172513
teenage-mercenary,Teenage Mercenary,263,episode-000263-episode-262,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000263-episode-262/page-0078.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000263-episode-262__page-0078.jpg,100333
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0303.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0303.jpg,132576
the-breaker-eternal-force,The Breaker: Eternal Force,13,episode-000013-episode-13,datasets/pages/source/webtoon_cleaned_dim_v2/the-breaker-eternal-force/episode-000013-episode-13/page-0114.jpg,datasets/pages/single/the-breaker-eternal-force_manwa/episode-000013-episode-13__page-0114.jpg,51404
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0405.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0405.jpg,84309
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0302.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0302.jpg,147696
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0101.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0101.jpg,81469
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0076.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0076.jpg,82757
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0301.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0301.jpg,95645
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0404.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0404.jpg,127684
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0300.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0300.jpg,90023
the-breaker-eternal-force,The Breaker: Eternal Force,42,episode-000042-episode-42,datasets/pages/source/webtoon_cleaned_dim_v2/the-breaker-eternal-force/episode-000042-episode-42/page-0156.jpg,datasets/pages/single/the-breaker-eternal-force_manwa/episode-000042-episode-42__page-0156.jpg,60799
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0403.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0403.jpg,50593
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000112-ep-112-why-isnt-daniel-losing-weight/page-0211.jpg,datasets/pages/single/lookism_manwa/episode-000112-ep-112-why-isnt-daniel-losing-weight__page-0211.jpg,55425
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0299.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0299.jpg,72222
eleceed,Eleceed,309,episode-000309-episode-309,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000309-episode-309/page-0116.jpg,datasets/pages/single/eleceed_manwa/episode-000309-episode-309__page-0116.jpg,64655
