series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
lookism,Lookism,292,episode-000292-ep-292-workers4-affiliates-6,"Ep. 292: Workers(4 Affiliates) (6) Jul 18, 2020 like 114,201 #292",529,257,272,0.5141776937618148,700,1,262,4,https://www.webtoons.com/en/drama/lookism/ep-292-workers4-affiliates-6/viewer?title_no=1049&episode_no=292
lookism,Lookism,296,episode-000296-ep-296-workers4-affiliates-10,"Ep. 296: Workers(4 Affiliates) (10) Aug 15, 2020 like 116,877 #296",556,283,273,0.4910071942446043,700,1,289,4,https://www.webtoons.com/en/drama/lookism/ep-296-workers4-affiliates-10/viewer?title_no=1049&episode_no=296
lookism,Lookism,311,episode-000311-ep-311-jake-kim-10,"Ep. 311: Jake Kim (10) Nov 28, 2020 like 88,983 #311",538,266,272,0.5055762081784386,700,1,271,5,https://www.webtoons.com/en/drama/lookism/ep-311-jake-kim-10/viewer?title_no=1049&episode_no=311
lookism,Lookism,312,episode-000312-ep-312-jake-kim-11,"Ep. 312: Jake Kim (11) Dec 5, 2020 like 87,053 #312",553,281,272,0.4918625678119349,700,1,286,5,https://www.webtoons.com/en/drama/lookism/ep-312-jake-kim-11/viewer?title_no=1049&episode_no=312
lookism,Lookism,317,episode-000317-ep-317-jake-kim-end,"Ep. 317: Jake Kim (End) Jan 9, 2021 like 86,833 #317",538,266,272,0.5055762081784386,700,1,271,5,https://www.webtoons.com/en/drama/lookism/ep-317-jake-kim-end/viewer?title_no=1049&episode_no=317
lookism,Lookism,348,episode-000348-ep-348-the-summit-meeting-1,"Ep. 348: The Summit Meeting (1) BGM Aug 14, 2021 like 78,598 #348",392,256,136,0.3469387755102041,160,116,382,5,https://www.webtoons.com/en/drama/lookism/ep-348-the-summit-meeting-1/viewer?title_no=1049&episode_no=348
lookism,Lookism,366,episode-000366-ep-366-one-night-7,"Ep. 366: One Night (7) BGM Dec 18, 2021 like 71,421 #366",391,256,135,0.3452685421994885,160,114,380,6,https://www.webtoons.com/en/drama/lookism/ep-366-one-night-7/viewer?title_no=1049&episode_no=366
lookism,Lookism,449,episode-000449-ep-449-workers-1st-affiliate-1,"Ep 449: Workers (1st Affiliate) (1) BGM Jul 22, 2023 like 37,335 #449",401,256,145,0.36159600997506236,160,125,391,7,https://www.webtoons.com/en/drama/lookism/ep-449-workers-1st-affiliate-1/viewer?title_no=1049&episode_no=449
lookism,Lookism,501,episode-000501-ep-501-cheonliang-aftermath-the-hunt-for-gun,"Ep. 501: Cheonliang (Aftermath) + The Hunt for Gun BGM Jul 20, 2024 like 24,314 #501",403,256,147,0.36476426799007444,160,127,393,8,https://www.webtoons.com/en/drama/lookism/ep-501-cheonliang-aftermath-the-hunt-for-gun/viewer?title_no=1049&episode_no=501
lookism,Lookism,577,episode-000577-ep-577-incheon-20,"Ep. 577: Incheon (20) BGM Jan 3, 2026 like 8,437 #577",414,256,158,0.38164251207729466,160,138,404,9,https://www.webtoons.com/en/drama/lookism/ep-577-incheon-20/viewer?title_no=1049&episode_no=577
omniscient-reader,Omniscient Reader,11,episode-000011-episode-10,"Episode 10 Oct 6, 2020 like 266,923 #11",661,286,375,0.56732223903177,800,9,634,0,https://www.webtoons.com/en/action/omniscient-reader/episode-10/viewer?title_no=2154&episode_no=11
omniscient-reader,Omniscient Reader,45,episode-000045-episode-44,"Episode 44 Apr 27, 2021 like 229,209 #45",650,294,356,0.5476923076923077,800,9,626,1,https://www.webtoons.com/en/action/omniscient-reader/episode-44/viewer?title_no=2154&episode_no=45
omniscient-reader,Omniscient Reader,55,episode-000055-episode-54,"Episode 54 Jul 6, 2021 like 220,318 #55",681,318,363,0.5330396475770925,800,9,652,1,https://www.webtoons.com/en/action/omniscient-reader/episode-54/viewer?title_no=2154&episode_no=55
omniscient-reader,Omniscient Reader,63,episode-000063-episode-62,"Episode 62 Aug 31, 2021 like 201,087 #63",695,336,359,0.516546762589928,800,9,669,2,https://www.webtoons.com/en/action/omniscient-reader/episode-62/viewer?title_no=2154&episode_no=63
omniscient-reader,Omniscient Reader,68,episode-000068-episode-67,"Episode 67 Oct 5, 2021 like 193,992 #68",711,354,357,0.5021097046413502,800,9,686,2,https://www.webtoons.com/en/action/omniscient-reader/episode-67/viewer?title_no=2154&episode_no=68
omniscient-reader,Omniscient Reader,83,episode-000083-episode-82,"Episode 82 Jan 18, 2022 like 175,168 #83",663,308,355,0.5354449472096531,800,9,640,2,https://www.webtoons.com/en/action/omniscient-reader/episode-82/viewer?title_no=2154&episode_no=83
omniscient-reader,Omniscient Reader,86,episode-000086-episode-85,"Episode 85 Feb 8, 2022 like 179,935 #86",667,308,359,0.5382308845577212,800,9,640,2,https://www.webtoons.com/en/action/omniscient-reader/episode-85/viewer?title_no=2154&episode_no=86
omniscient-reader,Omniscient Reader,93,episode-000093-episode-92,"Episode 92 Mar 29, 2022 like 176,690 #93",690,330,360,0.5217391304347826,800,9,662,3,https://www.webtoons.com/en/action/omniscient-reader/episode-92/viewer?title_no=2154&episode_no=93
omniscient-reader,Omniscient Reader,102,episode-000102-episode-101,"Episode 101 May 31, 2022 like 178,997 #102",734,376,358,0.4877384196185286,800,9,709,3,https://www.webtoons.com/en/action/omniscient-reader/episode-101/viewer?title_no=2154&episode_no=102
omniscient-reader,Omniscient Reader,130,episode-000130-episode-129,"Episode 129 Dec 13, 2022 like 147,228 #130",660,296,364,0.5515151515151515,800,9,634,4,https://www.webtoons.com/en/action/omniscient-reader/episode-129/viewer?title_no=2154&episode_no=130
omniscient-reader,Omniscient Reader,180,episode-000180-episode-179,"Episode 179 Nov 28, 2023 like 114,480 #180",644,286,358,0.5559006211180124,800,9,616,5,https://www.webtoons.com/en/action/omniscient-reader/episode-179/viewer?title_no=2154&episode_no=180
omniscient-reader,Omniscient Reader,195,episode-000195-episode-194,"Episode 194 Mar 11, 2024 like 105,948 #195",653,300,353,0.5405819295558959,800,9,628,6,https://www.webtoons.com/en/action/omniscient-reader/episode-194/viewer?title_no=2154&episode_no=195
omniscient-reader,Omniscient Reader,209,episode-000209-episode-208,"Episode 208 Jun 24, 2024 like 106,965 #209",659,304,355,0.5386949924127465,800,9,632,6,https://www.webtoons.com/en/action/omniscient-reader/episode-208/viewer?title_no=2154&episode_no=209
